preset_name,split,test_size,learning_rate,epoch,runs,accuracy_mean,accuracy_std,recall_malignant_mean,recall_malignant_std,f1_malignant_mean,f1_malignant_std,macro_f1_mean,macro_f1_std
RUN_2,split 70/30,0.3,0.001,50,5,0.4956524,0.015875875260910804,0.0228572,0.021665330154419526,0.0433934,0.040915506764550774,0.3504322,0.02418696128495682
RUN_2,split 70/30,0.3,0.001,75,5,0.4956524,0.015875875260910804,0.0228572,0.021665330154419526,0.0433934,0.040915506764550774,0.3504322,0.02418696128495682
RUN_2,split 70/30,0.3,0.001,100,5,0.4985508,0.016524080056087822,0.0314286,0.02555509853825651,0.058890399999999996,0.047643300728434,0.3584946,0.02732235461668706
RUN_2,split 70/30,0.3,0.01,25,5,0.8159420000000001,0.1768770594834164,0.7314286,0.3945291662999074,0.7279426,0.3777507508355212,0.7866466,0.2410333823380073
RUN_2,split 70/30,0.3,0.01,50,5,0.8130436,0.18320564674785542,0.7314286,0.3945291662999074,0.7276422,0.37841913706127495,0.7851764,0.24427843731958826
RUN_2,split 70/30,0.3,0.01,75,5,0.48695659999999996,0.059181333149059726,0.3028572,0.233954523315323,0.3253442,0.2178045436353429,0.4346412,0.08508556295106708
RUN_2,split 70/30,0.3,0.01,100,5,0.5362318,0.10209411340620966,0.205714,0.2427732838411179,0.2534586,0.2767648772781691,0.44747159999999997,0.14858529415221414
RUN_2,split 70/30,0.3,0.05,25,5,0.8652176,0.025925377418660654,0.857143,0.0826844752598697,0.864488,0.032749634959797665,0.8646483999999999,0.02644841003349726
RUN_2,split 70/30,0.3,0.05,50,5,0.7550724,0.06448880683343425,0.5514284,0.15701297099698486,0.6850962,0.1126478083040234,0.7413208,0.07585428168007388
RUN_2,split 70/30,0.3,0.05,75,5,0.8246376,0.05851186129580903,0.697143,0.14928405330610503,0.7941556,0.08585833091960268,0.81996,0.06320271328827588
RUN_2,split 70/30,0.3,0.05,100,5,0.8130434000000001,0.11553366453679201,0.7142858000000001,0.2116504940525772,0.7823978,0.15119475512464045,0.8084134000000001,0.1209570366382213
RUN_3,split 60/40,0.4,0.001,25,5,0.5748632,0.1739389752002121,0.20430120000000002,0.3861247027123491,0.2245114,0.3753190305624003,0.463213,0.2378350173597235
RUN_3,split 60/40,0.4,0.001,50,5,0.6590162,0.21938384191115812,0.3849464,0.48947769255023255,0.39134979999999997,0.4705682983507282,0.5725157999999999,0.29959785030637315
RUN_3,split 60/40,0.4,0.001,75,5,0.6655738,0.23310345686239833,0.38924719999999996,0.49388686793303177,0.40181819999999996,0.47551867604879616,0.5814436000000001,0.30982978050826554
RUN_3,split 60/40,0.4,0.001,100,5,0.6480872,0.21654088677476133,0.3634408,0.4879399687222804,0.3635,0.47941157790201516,0.5549322,0.3015305274042746
RUN_3,split 60/40,0.4,0.01,25,5,0.4961748,0.0071250663996906115,0.027957,0.031897743893573416,0.051170400000000005,0.05729231888569357,0.3539432,0.027929422357077127
RUN_3,split 60/40,0.4,0.01,50,5,0.901639,0.021857999999999954,0.9204302,0.02905215487188516,0.9047620000000001,0.02161266741982582,0.9015202,0.021853375155796856
RUN_3,split 60/40,0.4,0.01,75,5,0.567213,0.1744958992813298,0.2903226,0.2456701340747385,0.36698339999999996,0.3023029654292197,0.5099560000000001,0.20497775021084608
RUN_3,split 60/40,0.4,0.01,100,5,0.901639,0.021857999999999954,0.9204302,0.02905215487188516,0.9047620000000001,0.02161266741982582,0.9015202,0.021853375155796856
RUN_3,split 60/40,0.4,0.05,25,5,0.6557375999999999,0.17656287239479315,0.4021506,0.30627238537501217,0.4890152,0.34393768865842544,0.6095048000000001,0.2255286079341155
RUN_3,split 60/40,0.4,0.05,50,5,0.901639,0.021857999999999954,0.9204302,0.02905215487188516,0.9047620000000001,0.02161266741982582,0.9015202,0.021853375155796856
RUN_3,split 60/40,0.4,0.05,75,5,0.8054642,0.07733725308801702,0.6623656,0.1217950953129887,0.7715944,0.10260604119787488,0.8007968,0.0816536069331907
