experiment_id,preset_name,split,test_size,random_state,learning_rate,epoch,accuracy,precision_malignant,recall_malignant,f1_malignant,macro_f1,weighted_f1,train_samples,test_samples,train_features
39,RUN_1,split 80/20,0.2,42,0.01,100,0.76087,0.962963,0.553191,0.702703,0.751351,0.750294,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
40,RUN_1,split 80/20,0.2,42,0.05,25,0.891304,0.862745,0.93617,0.897959,0.89084,0.890995,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
41,RUN_1,split 80/20,0.2,42,0.05,50,0.826087,0.942857,0.702128,0.804878,0.824008,0.823592,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
42,RUN_1,split 80/20,0.2,42,0.05,75,0.891304,0.862745,0.93617,0.897959,0.89084,0.890995,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
43,RUN_1,split 80/20,0.2,42,0.05,100,0.836957,0.944444,0.723404,0.819277,0.835381,0.835031,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
44,RUN_1,split 80/20,0.2,42,0.001,25,0.891304,0.862745,0.93617,0.897959,0.89084,0.890995,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
45,RUN_1,split 80/20,0.2,42,0.001,50,0.478261,0.0,0.0,0.0,0.323529,0.316496,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
46,RUN_1,split 80/20,0.2,42,0.001,75,0.891304,0.862745,0.93617,0.897959,0.89084,0.890995,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
47,RUN_1,split 80/20,0.2,42,0.001,100,0.478261,0.0,0.0,0.0,0.323529,0.316496,365,92,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
48,RUN_2,split 70/30,0.3,42,0.01,25,0.884058,0.875,0.9,0.887324,0.88396,0.884009,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
49,RUN_2,split 70/30,0.3,42,0.01,50,0.884058,0.875,0.9,0.887324,0.88396,0.884009,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
50,RUN_2,split 70/30,0.3,42,0.01,75,0.572464,0.617021,0.414286,0.495726,0.562329,0.561363,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
51,RUN_2,split 70/30,0.3,42,0.01,100,0.507246,1.0,0.028571,0.055556,0.361111,0.356683,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
52,RUN_2,split 70/30,0.3,42,0.05,25,0.884058,0.875,0.9,0.887324,0.88396,0.884009,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
53,RUN_2,split 70/30,0.3,42,0.05,50,0.710145,0.96875,0.442857,0.607843,0.688979,0.687803,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
54,RUN_2,split 70/30,0.3,42,0.05,75,0.76087,0.974359,0.542857,0.697248,0.749821,0.74906,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
55,RUN_2,split 70/30,0.3,42,0.05,100,0.811594,0.958333,0.657143,0.779661,0.807552,0.807148,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
56,RUN_2,split 70/30,0.3,42,0.001,25,0.492754,0.5,0.014286,0.027778,0.34232,0.337762,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
57,RUN_2,split 70/30,0.3,42,0.001,50,0.492754,0.5,0.014286,0.027778,0.34232,0.337762,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
58,RUN_2,split 70/30,0.3,42,0.001,75,0.492754,0.5,0.014286,0.027778,0.34232,0.337762,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
59,RUN_2,split 70/30,0.3,42,0.001,100,0.507246,0.666667,0.057143,0.105263,0.382632,0.378612,319,138,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
60,RUN_3,split 60/40,0.4,42,0.01,25,0.491803,0.0,0.0,0.0,0.32967,0.324266,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
61,RUN_3,split 60/40,0.4,42,0.01,50,0.89071,0.892473,0.892473,0.892473,0.890681,0.89071,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
62,RUN_3,split 60/40,0.4,42,0.01,75,0.743169,0.96,0.516129,0.671329,0.730283,0.729317,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
63,RUN_3,split 60/40,0.4,42,0.01,100,0.89071,0.892473,0.892473,0.892473,0.890681,0.89071,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
64,RUN_3,split 60/40,0.4,42,0.05,25,0.491803,0.5,0.322581,0.392157,0.477769,0.476365,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
65,RUN_3,split 60/40,0.4,42,0.05,50,0.89071,0.892473,0.892473,0.892473,0.890681,0.89071,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
66,RUN_3,split 60/40,0.4,42,0.05,75,0.775956,0.964286,0.580645,0.724832,0.767946,0.767239,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
67,RUN_3,split 60/40,0.4,42,0.05,100,0.89071,0.892473,0.892473,0.892473,0.890681,0.89071,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
68,RUN_3,split 60/40,0.4,42,0.001,25,0.502732,0.75,0.032258,0.061856,0.361783,0.356866,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
69,RUN_3,split 60/40,0.4,42,0.001,50,0.885246,0.882979,0.892473,0.887701,0.885191,0.885232,274,183,"Bare_Nuclei, Uniformity_Cell_Size, Uniformity_Cell_Shape, Normal_Nucleoli"
